age,workclass,education
0,govt-employed,HS-grad
0,govt-employed,Doctorate
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,empl-unknown,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,empl-unknown,Some-College
0,govt-employed,Below-HS
0,unemployed,Below-HS
0,govt-employed,HS-grad
0,unemployed,Below-HS
0,empl-unknown,Below-HS
0,govt-employed,Bachelors
0,unemployed,Bachelors
0,govt-employed,Doctorate
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,unemployed,Some-College
0,govt-employed,Bachelors
0,unemployed,HS-grad
0,empl-unknown,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,unemployed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,empl-unknown,Some-College
0,govt-employed,HS-grad
0,self-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,empl-unknown,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,self-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,unemployed,Bachelors
0,self-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,unemployed,HS-grad
1,unemployed,Masters-or-equivalent
1,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,empl-unknown,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,unemployed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,unemployed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,unemployed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,self-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
1,empl-unknown,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,empl-unknown,Below-HS
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,empl-unknown,Below-HS
0,empl-unknown,Below-HS
0,govt-employed,Some-College
0,empl-unknown,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,self-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,unemployed,Bachelors
0,unemployed,Masters-or-equivalent
0,govt-employed,Bachelors
0,unemployed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Masters-or-equivalent
0,unemployed,Bachelors
0,govt-employed,Doctorate
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,empl-unknown,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,unemployed,Some-College
0,unemployed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,empl-unknown,Some-College
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,unemployed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,empl-unknown,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,HS-grad
3,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
1,govt-employed,Some-College
0,empl-unknown,Some-College
0,govt-employed,HS-grad
0,unemployed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,self-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
1,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,empl-unknown,Some-College
0,govt-employed,Masters-or-equivalent
0,unemployed,Doctorate
0,self-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
1,govt-employed,Doctorate
0,unemployed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
1,govt-employed,Below-HS
0,govt-employed,Some-College
2,unemployed,Some-College
0,empl-unknown,Some-College
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,self-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Masters-or-equivalent
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,unemployed,Bachelors
0,govt-employed,Some-College
1,unemployed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Doctorate
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,unemployed,Masters-or-equivalent
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Below-HS
2,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,empl-unknown,Some-College
0,govt-employed,Some-College
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
1,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,empl-unknown,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
2,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,unemployed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,self-employed,Bachelors
1,govt-employed,Below-HS
0,empl-unknown,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,self-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
3,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,empl-unknown,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Below-HS
0,self-employed,Some-College
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
1,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,unemployed,Some-College
0,self-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,empl-unknown,HS-grad
0,govt-employed,Some-College
3,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
1,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
1,empl-unknown,Some-College
0,govt-employed,Bachelors
1,govt-employed,HS-grad
0,self-employed,HS-grad
2,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,unemployed,Masters-or-equivalent
0,govt-employed,Bachelors
0,govt-employed,Bachelors
1,govt-employed,Bachelors
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
2,empl-unknown,Bachelors
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,unemployed,Doctorate
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Below-HS
1,empl-unknown,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,self-employed,Some-College
0,unemployed,Masters-or-equivalent
0,unemployed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
3,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,unemployed,Some-College
0,govt-employed,HS-grad
1,govt-employed,Some-College
0,govt-employed,Some-College
0,empl-unknown,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
2,self-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
1,empl-unknown,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,unemployed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
1,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Bachelors
1,self-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
1,govt-employed,Bachelors
0,govt-employed,Some-College
0,unemployed,HS-grad
0,govt-employed,HS-grad
1,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,empl-unknown,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
1,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
1,empl-unknown,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,empl-unknown,Some-College
0,govt-employed,Some-College
0,unemployed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,unemployed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,unemployed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Below-HS
0,empl-unknown,Some-College
0,unemployed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
1,empl-unknown,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,unemployed,Some-College
0,unemployed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
1,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
1,govt-employed,HS-grad
0,govt-employed,HS-grad
1,govt-employed,Below-HS
0,unemployed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
